sb_number,season_year,game_date,winner_team_id,opponent,score,created_by,created_at,modified_by,modified_at
1,1966,1/15/67,12,Kansas City Chiefs,35-10,postgres,2025-07-03,,
2,1967,1/14/68,12,Las Vegas Raiders,33-14,postgres,2025-07-03,,
3,1968,1/12/69,25,Indianapolis Colts,16-7,postgres,2025-07-03,,
4,1969,1/11/70,16,Minnesota Vikings,23-7,postgres,2025-07-03,,
5,1970,1/17/71,14,Dallas Cowboys,16-13,postgres,2025-07-03,,
6,1971,1/16/72,9,Miami Dolphins,24-3,postgres,2025-07-03,,
7,1972,1/14/73,20,Washington Commanders,14-7,postgres,2025-07-03,,
8,1973,1/13/74,20,Minnesota Vikings,24-7,postgres,2025-07-03,,
9,1974,1/12/75,27,Minnesota Vikings,16-6,postgres,2025-07-03,,
10,1975,1/18/76,27,Dallas Cowboys,21-17,postgres,2025-07-03,,
11,1976,1/9/77,17,Minnesota Vikings,32-14,postgres,2025-07-03,,
12,1977,1/15/78,9,Denver Broncos,27-10,postgres,2025-07-03,,
13,1978,1/21/79,27,Dallas Cowboys,35-31,postgres,2025-07-03,,
14,1979,1/20/80,27,Los Angeles Rams,31-19,postgres,2025-07-03,,
15,1980,1/25/81,17,Philadelphia Eagles,27-10,postgres,2025-07-03,,
16,1981,1/24/82,28,Cincinnati Bengals,26-21,postgres,2025-07-03,,
17,1982,1/30/83,32,Miami Dolphins,27-17,postgres,2025-07-03,,
18,1983,1/22/84,17,Washington Commanders,38-9,postgres,2025-07-03,,
19,1984,1/20/85,28,Miami Dolphins,38-16,postgres,2025-07-03,,
20,1985,1/26/86,6,New England Patriots,46-10,postgres,2025-07-03,,
21,1986,1/25/87,24,Denver Broncos,39-20,postgres,2025-07-03,,
22,1987,1/31/88,32,Denver Broncos,42-10,postgres,2025-07-03,,
23,1988,1/22/89,28,Cincinnati Bengals,20-16,postgres,2025-07-03,,
24,1989,1/28/90,28,Denver Broncos,55-10,postgres,2025-07-03,,
25,1990,1/27/91,24,Buffalo Bills,20-19,postgres,2025-07-03,,
26,1991,1/26/92,32,Buffalo Bills,37-24,postgres,2025-07-03,,
27,1992,1/31/93,9,Buffalo Bills,52-17,postgres,2025-07-03,,
28,1993,1/30/94,9,Buffalo Bills,30-13,postgres,2025-07-03,,
29,1994,1/29/95,28,Los Angeles Chargers,49-26,postgres,2025-07-03,,
30,1995,1/28/96,9,Pittsburgh Steelers,27-17,postgres,2025-07-03,,
31,1996,1/26/97,12,New England Patriots,35-21,postgres,2025-07-03,,
32,1997,1/25/98,10,Green Bay Packers,31-24,postgres,2025-07-03,,
33,1998,1/31/99,10,Atlanta Falcons,34-19,postgres,2025-07-03,,
34,1999,1/30/00,19,Tennessee Titans,23-16,postgres,2025-07-03,,
35,2000,1/28/01,3,New York Giants,34-7,postgres,2025-07-03,,
36,2001,2/3/02,22,Los Angeles Rams,20-17,postgres,2025-07-03,,
37,2002,1/26/03,30,Las Vegas Raiders,48-21,postgres,2025-07-03,,
38,2003,2/1/04,22,Carolina Panthers,32-29,postgres,2025-07-03,,
39,2004,2/6/05,22,Philadelphia Eagles,24-21,postgres,2025-07-03,,
40,2005,2/5/06,27,Seattle Seahawks,21-10,postgres,2025-07-03,,
41,2006,2/4/07,14,Chicago Bears,29-17,postgres,2025-07-03,,
42,2007,2/3/08,24,New England Patriots,17-14,postgres,2025-07-03,,
43,2008,2/1/09,27,Arizona Cardinals,27-23,postgres,2025-07-03,,
44,2009,2/7/10,23,Indianapolis Colts,31-17,postgres,2025-07-03,,
45,2010,2/6/11,12,Pittsburgh Steelers,31-25,postgres,2025-07-03,,
46,2011,2/5/12,24,New England Patriots,21-17,postgres,2025-07-03,,
47,2012,2/3/13,3,San Francisco 49ers,34-31,postgres,2025-07-03,,
48,2013,2/2/14,29,Denver Broncos,43-8,postgres,2025-07-03,,
49,2014,2/1/15,22,Seattle Seahawks,28-24,postgres,2025-07-03,,
50,2015,2/7/16,10,Carolina Panthers,24-10,postgres,2025-07-03,,
51,2016,2/5/17,22,Atlanta Falcons,34-28,postgres,2025-07-03,,
52,2017,2/4/18,26,New England Patriots,41-33,postgres,2025-07-03,,
53,2018,2/3/19,22,Los Angeles Rams,13-3,postgres,2025-07-03,,
54,2019,2/2/20,16,San Francisco 49ers,31-20,postgres,2025-07-03,,
55,2020,2/7/21,30,Kansas City Chiefs,31-9,postgres,2025-07-03,,
56,2021,2/13/22,19,Cincinnati Bengals,23-20,postgres,2025-07-03,,
57,2022,2/12/23,16,Philadelphia Eagles,38-35,postgres,2025-07-03,,
58,2023,2/11/24,16,San Francisco 49ers,25-22,postgres,2025-07-03,,
59,2024,2/9/25,26,Kansas City Chiefs,40-22,postgres,2025-07-03,,
